formula   X_a0      X_b1      X_c2      Z_a3      Z_b4      Z_c5      IE_a6     IE_b7     IE_c8     EA_a9     EA_b10    EA_c11    r_A12     r_B13     r_C14     vale_A15  vale_B16  vale_C17  cr.r_A18  cr.r_B19  cr.r_C20  mb.x_A21  mb.x_B22  mb.x_C23  s_A24     p_A25     d_A26     f_A27     s_B28     p_B29     d_B30     f_B31     s_C32     p_C33     d_C34     f_C35     random36  random37  topoY     
DyGeRh    1.22      2.01      2.28      66        32        45        5.93905   7.89944   7.4589    0.352     1.23268   1.14289   1.75      1.25      1.35      3         4         9         3.67      3.67      3.67      1.15      1.15      1.15      2         0         0         10        2         2         10        0         1         0         8         0         0.310794  0.578415  1         
CaSbPt    1.0       2.05      2.28      20        51        78        6.11316   8.60839   8.95883   0.02455   1.0474    2.12511   1.8       1.45      1.35      2         5         10        3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         3         10        0         1         0         9         14        0.554204  0.737027  0         
YbAgSb    1.1       1.93      2.05      70        47        51        6.25416   7.57623   8.60839   -0.02     1.30447   1.0474    1.75      1.6       1.45      3         11        5         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        1         0         10        0         2         3         10        0         0.639247  0.24037   0         
ZrCoP     1.33      1.88      2.19      40        27        15        6.63413   7.88101   10.48669  0.43329   0.66226   0.74661   1.55      1.35      1.0       4         9         5         2.825     2.825     2.825     1.70      1.70      1.70      2         0         2         0         2         0         7         0         2         3         0         0         0.677608  0.872341  1         
SbOF      2.05      3.44      3.98      51        8         9         8.60839   13.61806  17.42282  1.0474    1.46111   3.40119   1.45      0.6       0.5       5         6         7         1.765     1.765     1.765     2.14      2.14      2.14      2         3         10        0         2         4         0         0         2         5         0         0         0.841646  0.780924  0         
TiSiRh    1.54      1.9       2.28      22        14        45        6.82812   8.15168   7.4589    0.07555   1.38952   1.14289   1.4       1.1       1.35      4         4         9         2.58      2.58      2.58      1.86      1.86      1.86      2         0         2         0         2         2         0         0         1         0         8         0         0.184205  0.634374  0         
ScSiPt    1.36      1.9       2.28      21        14        78        6.56149   8.15168   8.95883   0.1882    1.38952   2.12511   1.6       1.1       1.35      3         4         10        2.75      2.75      2.75      1.50      1.50      1.50      2         0         1         0         2         2         0         0         1         0         9         14        0.112795  0.452359  0         
NaCdAs    0.93      1.69      2.18      11        48        33        5.13908   8.99382   9.78855   0.54793   -0.72     0.80482   1.8       1.55      1.15      1         12        5         2.65      2.65      2.65      0.89      0.89      0.89      1         0         0         0         2         0         10        0         2         3         10        0         0.90204   0.106753  1         
TiO2      1.54      3.44      3.44      22        8         8         6.82812   13.61806  13.61806  0.07555   1.46111   1.46111   1.4       0.6       0.6       4         6         6         2.58      2.58      2.58      1.86      1.86      1.86      2         0         2         0         2         4         0         0         2         4         0         0         0.998767  0.17031   0         
MgCuP     1.31      1.9       2.19      12        29        15        7.64624   7.72638   10.48669  -0.42     1.23578   0.74661   1.5       1.35      1.0       2         11        5         2.03      2.03      2.03      1.31      1.31      1.31      2         0         0         0         1         0         10        0         2         3         0         0         0.950465  0.156392  0         
