formula   X_a0      X_b1      X_c2      Z_a3      Z_b4      Z_c5      IE_a6     IE_b7     IE_c8     EA_a9     EA_b10    EA_c11    r_A12     r_B13     r_C14     vale_A15  vale_B16  vale_C17  cr.r_A18  cr.r_B19  cr.r_C20  mb.x_A21  mb.x_B22  mb.x_C23  s_A24     p_A25     d_A26     f_A27     s_B28     p_B29     d_B30     f_B31     s_C32     p_C33     d_C34     f_C35     topoY     
CsPbCl3   0.79      2.33      3.16      55        82        17        3.89391   7.41668   12.96763  0.47163   0.35672   3.61273   2.6       1.8       1.0       1         4         7         4.31      4.31      4.31      0.77      0.77      0.77      1         0         0         0         2         2         10        14        2         5         0         0         0         
NdGaO3    1.81      1.14      3.44      31        60        8         5.9993    5.525     13.61806  0.3012    0.09749   1.46111   1.3       1.85      0.6       3         3         6         1.695     1.695     1.695     1.70      1.70      1.70      2         1         10        0         2         0         0         4         2         4         0         0         0         
RbCdF3    0.82      1.69      3.98      37        48        9         4.17713   8.99382   17.42282  0.48592   -0.72     3.40119   2.35      1.55      0.5       1         12        7         4.10      4.10      4.10      0.80      0.80      0.80      1         0         0         0         2         0         10        0         2         5         0         0         0         
CsYbF3    0.79      1.1       3.98      55        70        9         3.89391   6.25416   17.42282  0.47163   -0.02     3.40119   2.6       1.75      0.5       1         3         7         4.31      4.31      4.31      0.77      0.77      0.77      1         0         0         0         2         0         0         14        2         5         0         0         0         
CsSrF3    0.79      0.95      3.98      55        38        9         3.89391   5.69487   17.42282  0.47163   0.05207   3.40119   2.6       2.0       0.5       1         2         7         4.31      4.31      4.31      0.77      0.77      0.77      1         0         0         0         2         0         0         0         2         5         0         0         0         
Pr3GaC    2.55      1.81      1.13      6         31        59        11.26029  5.9993    5.4702    1.26211   0.3012    0.10923   0.7       1.3       1.85      4         3         3         0.64      0.64      0.64      2.37      2.37      2.37      2         2         0         0         2         1         10        0         2         0         0         3         1         
K3AuO     2.54      3.44      0.82      79        8         19        9.22555   13.61806  4.34066   2.30861   1.46111   0.50146   1.35      0.6       2.2       11        6         1         2.66      2.66      2.66      1.19      1.19      1.19      1         0         10        14        2         4         0         0         1         0         0         0         0         
La3TlC    1.62      2.55      1.1       81        6         57        6.10829   11.26029  5.5769    0.32005   1.26211   0.55755   1.9       0.7       1.95      3         4         3         2.235     2.235     2.235     1.69      1.69      1.69      2         1         10        14        2         2         0         0         2         0         1         0         0         
Mn3PtN    2.28      3.04      1.55      78        7         25        8.95883   14.53413  7.43404   2.12511   -0.07     -0.52     1.35      0.65      1.4       10        5         7         2.70      2.70      2.70      1.91      1.91      1.91      1         0         9         14        2         3         0         0         2         0         5         0         1         
Pt3PbC    2.33      2.55      2.28      82        6         78        7.41668   11.26029  8.95883   0.35672   1.26211   2.12511   1.8       0.7       1.35      4         4         10        2.09      2.09      2.09      1.92      1.92      1.92      2         2         10        14        2         2         0         0         1         0         9         14        0         
CsCaBr3   0.79      1.0       2.96      55        20        35        3.89391   6.11316   11.81381  0.47163   0.02455   3.36359   2.6       1.8       1.15      1         2         7         4.31      4.31      4.31      0.77      0.77      0.77      1         0         0         0         2         0         0         0         2         5         10        0         0         
Nd3TlC    2.55      1.62      1.14      6         81        60        11.26029  6.10829   5.525     1.26211   0.32005   0.09749   0.7       1.9       1.85      4         3         3         0.64      0.64      0.64      2.37      2.37      2.37      2         2         0         0         2         1         10        14        2         0         0         4         0         
TbBPd3    1.1       2.04      2.2       65        5         46        5.8638    8.29802   8.33684   0.13132   0.27972   0.56214   1.75      0.85      1.4       3         3         10        3.89      3.89      3.89      1.2       1.2       1.2       2         0         0         9         2         1         0         0         0         0         10        0         0         
Nd3InC    1.78      2.55      1.14      49        6         60        5.78636   11.26029  5.525     0.38393   1.26211   0.09749   1.55      0.7       1.85      3         4         3         2.05      2.05      2.05      1.63      1.63      1.63      2         1         10        0         2         2         0         0         2         0         0         4         0         
SnPt3C    1.96      2.55      2.28      50        6         78        7.34392   11.26029  8.95883   1.11207   1.26211   2.12511   1.45      0.7       1.35      4         4         10        1.88      1.88      1.88      1.88      1.88      1.88      2         2         10        0         2         2         0         0         1         0         9         14        0         
Ba3SnO    1.96      3.44      0.89      50        8         56        7.34392   13.61806  5.21166   1.11207   1.46111   0.14463   1.45      0.6       2.15      4         6         2         1.88      1.88      1.88      1.88      1.88      1.88      2         2         10        0         2         4         0         0         2         0         0         0         0         
Tm3TlC    2.55      1.62      1.25      6         81        69        11.26029  6.10829   6.18431   1.26211   0.32005   1.02922   0.7       1.9       1.75      4         3         3         0.64      0.64      0.64      2.37      2.37      2.37      2         2         0         0         2         1         10        14        2         0         0         13        1         
Sc3InC    1.78      2.55      1.36      49        6         21        5.78636   11.26029  6.56149   0.38393   1.26211   0.1882    1.55      0.7       1.6       3         4         3         2.05      2.05      2.05      1.63      1.63      1.63      2         1         10        0         2         2         0         0         2         0         1         0         0         
ErRh3C    1.24      2.55      2.28      68        6         45        6.1077    11.26029  7.4589    0.312     1.26211   1.14289   1.75      0.7       1.35      3         4         9         3.63      3.63      3.63      1.2       1.2       1.2       2         0         0         12        2         2         0         0         1         0         8         0         1         
Sr3BiN    2.02      3.04      0.95      83        7         38        7.28552   14.53413  5.69487   0.94236   -0.07     0.05207   1.6       0.65      2.0       5         5         2         1.997     1.997     1.997     2.14      2.14      2.14      2         3         10        14        2         3         0         0         2         0         0         0         1         
CsGeBr3   0.79      2.01      2.96      55        32        35        3.89391   7.89944   11.81381  0.47163   1.23268   3.36359   2.6       1.25      1.15      1         4         7         4.31      4.31      4.31      0.77      0.77      0.77      1         0         0         0         2         2         10        0         2         5         10        0         1         
CsHgCl3   0.79      2.0       3.16      55        80        17        3.89391   10.4375   12.96763  0.47163   -0.52     3.61273   2.6       1.5       1.0       1         12        7         4.31      4.31      4.31      0.77      0.77      0.77      1         0         0         0         2         0         10        14        2         5         0         0         0         
TbRh3C    1.1       2.55      2.28      65        6         45        5.8638    11.26029  7.4589    0.13132   1.26211   1.14289   1.75      0.7       1.35      3         4         9         3.89      3.89      3.89      1.2       1.2       1.2       2         0         0         9         2         2         0         0         1         0         8         0         1         
SmBPd3    1.17      2.04      2.2       62        5         46        5.64371   8.29802   8.33684   0.162     0.27972   0.56214   1.85      0.85      1.4       3         3         10        4.14      4.14      4.14      1.2       1.2       1.2       2         0         0         6         2         1         0         0         0         0         10        0         0         
HfBRh3    1.3       2.04      2.28      72        5         45        6.82507   8.29802   7.4589    0.17807   0.27972   1.14289   1.55      0.85      1.35      4         3         9         2.91      2.91      2.91      1.73      1.73      1.73      2         0         2         14        2         1         0         0         1         0         8         0         1         
CsSnI3    0.79      1.96      2.66      55        50        53        3.89391   7.34392   10.45126  0.47163   1.11207   3.05905   2.6       1.45      1.4       1         4         7         4.31      4.31      4.31      0.77      0.77      0.77      1         0         0         0         2         2         10        0         2         5         10        0         1         
SrSiO3    0.95      1.9       3.44      38        14        8         5.69487   8.15168   13.61806  0.05207   1.38952   1.46111   2.0       1.1       0.6       2         4         6         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         2         0         0         2         4         0         0         0         
SrGeO3    0.95      2.01      3.44      38        32        8         5.69487   7.89944   13.61806  0.05207   1.23268   1.46111   2.0       1.25      0.6       2         4         6         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         2         10        0         2         4         0         0         0         
Ca3SbN    3.04      2.05      1.0       7         51        20        14.53413  8.60839   6.11316   -0.07     1.0474    0.02455   0.65      1.45      1.8       5         5         2         0.54      0.54      0.54      2.85      2.85      2.85      2         3         0         0         2         3         10        0         2         0         0         0         0         
